Model,AUC,Accuracy,ePCP,Sensitivity (TPR),Specificity (TNR),F1,Brier,BSS
Logical (M+C),0.8666845961504913,0.9280677009873061,0.9267341325811002,0.7241379310344828,0.9679595278246206,0.7671232876712328,0.07107861899858957,0.48057987909475486
RF (M+C),0.9433404082107345,0.921015514809591,0.8995362871926824,0.7155172413793104,0.9612141652613828,0.7477477477477479,0.060667009424855825,0.5566646367869984
RF (Full),0.9584084433331395,0.9337094499294781,0.9033552485953662,0.7586206896551724,0.9679595278246206,0.789237668161435,0.05113039270665673,0.6263552227688709
