Group,Model,AUC,Accuracy,ePCP,Sensitivity (TPR),Specificity (TNR),F1,Brier,BSS
0–<40,Logical (M+C),0.6538461538461539,0.9758241758241758,0.975830989010989,0.15384615384615385,1,0.2666666666666667,0.024162209252747254,0.12944981368778274
0–<40,RF (M+C),0.9292551340062652,0.9758241758241758,0.9707904091595849,0.3076923076923077,0.995475113122172,0.42105263157894735,0.017052157918301867,0.3856207808847122
0–<40,RF (Full),0.9161155586494953,0.9846153846153847,0.9694512643894942,0.46153846153846156,1,0.631578947368421,0.015516546219053559,0.44094796710762907
40–<65,Logical (M+C),0.7892843619840969,0.847457627118644,0.84355197740113,0.6052631578947368,0.9136690647482014,0.6301369863013698,0.14878466988700564,0.11751705359901543
40–<65,RF (M+C),0.8014009844755774,0.8305084745762712,0.7838612109621753,0.5526315789473685,0.9064748201438849,0.5833333333333334,0.13435602909034786,0.203097304927772
40–<65,RF (Full),0.86198409693298,0.847457627118644,0.7904438842413595,0.5789473684210527,0.920863309352518,0.619718309859155,0.11418369637138671,0.3227449784893649
65–100,Logical (M+C),0.6538461538461539,0.8311688311688312,0.8278272727272727,0.9076923076923077,0.4166666666666667,0.900763358778626,0.16968894922077923,-0.28985356401282036
65–100,RF (M+C),0.6205128205128205,0.8051948051948052,0.7443916508012425,0.8923076923076924,0.3333333333333333,0.8854961832061069,0.14900208675849175,-0.13260688768089413
65–100,RF (Full),0.7474358974358974,0.8311688311688312,0.7723373824178458,0.9230769230769231,0.3333333333333333,0.9022556390977443,0.11663513820278967,0.11342341743033357
