Model,AUC,Accuracy,ePCP,Sensitivity (TPR),Specificity (TNR),F1,Brier,BSS
Logical (M+C),0.9470219588029537,0.9517543859649122,0.9529719298245614,0.8790322580645161,0.9789156626506024,0.9083333333333334,0.04589779951754386,0.7681741925650991
RF (M+C),0.9831422464049747,0.9495614035087719,0.9277901480326665,0.9274193548387096,0.95783132530120485,0.9090909090909091,0.038587595767885244,0.8050973981346924
RF (Full),0.9874659930042751,0.956140350877193,0.9418665935672514,0.9274193548387096,0.9668674698795181,0.92,0.03128535398391813,0.8419803885056355
