republican	totcont	select	senior	vote90	freshman	give	distance
0	0	0	10	99	0	0	.5730491
0	2000	1	18	59	0	1	.5715361
0	6500	1	2	52	1	1	.5685161
0	2000	1	2	43	1	1	.555025
0	0	0	51	65	0	0	.5535361
0	500	1	18	55	0	1	.5461211
0	0	0	30	68	0	0	.5446441
0	2800	1	4	59	0	1	.5431691
0	0	0	18	58	0	0	.5431691
0	0	0	10	67	0	0	.5387561
0	0	0	8	99	0	0	.5358241
0	1000	1	3	61	0	1	.528529
0	0	0	28	99	0	0	.5041001
0	0	0	16	52	0	0	.4998491
0	0	0	20	64	0	0	.4998491
0	4000	1	4	58	0	1	.4998491
0	1500	1	8	67	0	1	.4998491
0	1000	1	18	62	0	1	.4942091
0	0	0	2	60	1	0	.4942091
0	1000	1	18	99	0	1	.483025
0	1750	1	22	99	0	1	.480249
0	0	0	10	53	0	0	.480249
0	3500	1	2	52	1	1	.478864
0	500	1	14	77	0	1	.4719691
0	1500	1	8	78	0	1	.466489
0	0	0	14	99	0	0	.4624
0	500	1	16	61	0	1	.4475611
0	0	0	39	66	0	0	.4462241
0	1000	1	6	58	0	1	.4462241
0	0	0	10	74	0	0	.438244
0	5000	1	10	65	0	1	.438244
0	0	0	22	61	0	0	.4342811
0	1300	1	10	78	0	1	.4199041
0	500	1	40	58	0	1	.417316
0	0	0	10	60	0	0	.4147361
0	6000	1	10	96	0	1	.413449
0	8150	1	2	50	1	1	.404496
0	0	0	10	97	0	0	.4006891
0	500	1	16	74	0	1	.3981611
0	4000	1	10	60	0	1	.3956411
0	500	1	4	64	0	1	.391876
0	0	0	34	79	0	0	.3868841
0	0	0	28	71	0	0	.3868841
0	500	1	34	98	0	1	.3844
0	0	0	10	99	0	0	.3806891
0	0	0	4	66	0	0	.379456
0	500	1	6	84	0	1	.3782251
0	1000	1	8	66	0	1	.3782251
0	500	1	8	64	0	1	.3782251
0	500	1	1	56	1	1	.367236
0	0	0	8	64	0	0	.367236
0	1000	1	14	65	0	1	.3660251
0	1000	1	20	66	0	1	.364816
0	2500	1	10	58	0	1	.364816
0	0	0	18	55	0	0	.356409
0	4000	1	6	61	0	1	.351649
0	0	0	12	66	0	0	.3481
0	2200	1	2	59	1	1	.343396
0	0	0	16	62	0	0	.343396
0	7000	1	2	52	1	1	.337561
0	4500	1	2	55	1	1	.335241
0	2500	1	6	53	0	1	.332929
0	300	1	37	67	0	1	.3317761
0	3000	1	6	57	0	1	.321489
0	2500	1	11	81	0	1	.320356
0	800	1	10	71	0	1	.312481
0	8000	1	20	53	0	1	.309136
0	0	0	6	70	0	0	.3058091
0	650	1	8	69	0	1	.304704
0	8000	1	6	99	0	1	.3036011
0	8000	1	6	99	0	1	.3036011
0	5000	1	10	55	0	1	.2992091
0	1000	1	6	59	0	1	.294849
0	100	1	12	81	0	1	.2937641
0	1000	1	10	66	0	1	.289444
0	2000	1	6	86	0	1	.2819611
0	500	1	10	70	0	1	.279841
0	7000	1	10	57	0	1	.2756251
0	0	0	12	80	0	0	.274576
0	3000	1	14	55	0	1	.274576
0	500	1	6	60	0	1	.266256
0	3500	1	14	51	0	1	.2631691
1	0	0	24	71	0	0	.2601
0	1500	1	4	61	0	1	.2601
0	500	1	23	62	0	1	.2530091
0	1000	1	18	58	0	1	.252004
0	7000	1	2	60	1	1	.252004
0	1000	1	24	61	0	1	.249001
0	3000	1	16	57	0	1	.248004
0	0	0	4	64	0	0	.248004
0	6250	1	16	73	0	1	.244036
0	0	0	14	61	0	0	.241081
0	0	0	14	60	0	0	.239121
0	750	1	2	55	1	1	.235225
0	500	1	20	70	0	1	.229441
0	2500	1	12	60	0	1	.226576
0	0	0	6	72	0	0	.2209
0	1500	1	2	52	1	1	.2209
0	0	0	18	56	0	0	.2116
0	500	1	4	63	0	1	.208849
0	5250	1	16	68	0	1	.201601
0	0	0	18	73	0	0	.200704
0	500	1	6	85	0	1	.1936
0	800	1	10	61	0	1	.191844
0	2000	1	10	67	0	1	.189225
0	500	1	12	66	0	1	.185761
0	13000	1	1	50	1	1	.182329
0	750	1	18	61	0	1	.173056
0	0	0	14	73	0	0	.1681
0	0	0	31	99	0	0	.167281
0	0	0	20	58	0	0	.166464
0	3500	1	20	53	0	1	.163216
0	0	0	9	99	0	0	.162409
0	5500	1	28	61	0	1	.162409
0	0	0	16	99	0	0	.158404
0	4000	1	4	54	0	1	.157609
0	1500	1	2	66	1	1	.153664
0	0	0	10	61	0	0	.153664
0	200	1	14	73	0	1	.145924
0	0	0	18	69	0	0	.1444
0	0	0	12	72	0	0	.140625
0	2050	1	16	65	0	1	.137641
0	1170	1	18	58	0	1	.133225
0	750	1	4	72	0	1	.119716
0	500	1	6	73	0	1	.116964
0	7000	1	16	63	0	1	.110889
0	1750	1	30	63	0	1	.110224
0	2500	1	1	39	1	1	.095481
0	0	0	12	79	0	0	.094249
0	2000	1	10	62	0	1	.089401
0	500	1	5	77	0	1	.085849
0	500	1	22	97	0	1	.0841
0	2500	1	2	80	1	1	.0841
0	800	1	10	93	0	1	.082944
0	1500	1	2	60	1	1	.066049
0	1500	1	19	80	0	1	.063504
0	500	1	2	79	1	1	.062001
0	1000	1	2	93	1	1	.061009
0	750	1	22	61	0	1	.0576
0	2850	1	6	76	0	1	.056169
0	500	1	10	95	0	1	.054756
0	3500	1	28	89	0	1	.045369
0	500	1	24	80	0	1	.039601
0	500	1	3	57	0	1	.035721
0	800	1	4	81	0	1	.033124
0	0	0	28	69	0	0	.0036
