id,income,education,gender,age,union,height,weight,surveydate
271,1.00E+05,4,male,44,no,180,140,10/5/15
272,1.00E+05,12,male,36,no,175,156,10/2/15
273,20000,7,female,65,used to be,167,136,10/3/15
274,30000,4,female,63,used to be,162,130,10/1/15
275,20000,4,male,56,used to be,175,160,10/5/15
276,50000,7,female,61,yes,154,114,10/4/15
277,50000,6,male,54,no,179,146,9/26/15
278,80000,10,female,29,yes,163,120,9/10/15
279,36000,6,male,70,used to be,165,105,10/1/15
280,40000,11,female,33,no,160,94,10/4/15
281,36000,3,female,79,used to be,159,92,9/18/15
282,60000,4,male,43,no,164,134,10/3/15
283,80000,13,female,28,no,175,122,10/17/15
284,50000,3,female,83,no,156,104,9/25/15
285,26000,7,male,51,yes,168,150,10/5/15
286,40000,12,male,75,used to be,168,120,9/30/15
287,35000,6,male,70,used to be,165,160,9/25/15
288,30000,6,male,52,yes,173,212,9/27/15
289,20000,4,female,34,no,160,82,9/28/15
290,60000,7,male,28,no,170,120,10/7/15
291,43000,12,female,75,used to be,160,140,9/18/15
292,44000,10,male,22,yes,165,180,10/2/15
293,2.00E+05,6,male,43,no,171,155,10/18/15
294,24000,4,male,62,no,160,140,10/5/15
295,2.00E+05,13,male,29,no,175,180,10/1/15
296,40000,6,male,74,yes,172,160,10/1/15
297,45600,6,female,54,used to be,166,140,10/3/15
298,0,7,female,34,no,164,90,10/6/15
299,2.00E+05,11,female,31,no,155,50,10/3/15
300,40000,3,male,27,no,167,104,8/31/15
301,1.00E+05,10,male,44,yes,170,120,9/26/15
302,50000,6,female,45,no,161,126,9/28/15
303,40000,12,female,27,no,165,110,10/18/15
304,46200,9,female,63,used to be,164,136,10/23/15
305,10000,6,female,42,no,158,120,10/4/15
306,14400,10,male,60,yes,177,160,9/27/15
307,30000,7,female,37,no,160,120,10/5/15
308,1.00E+06,12,male,40,no,173,140,9/26/15
309,36000,3,female,73,used to be,160,140,10/4/15
310,36000,4,male,63,used to be,165,147,10/5/15
311,13000,4,female,50,no,160,126,8/31/15
312,110000,13,male,32,no,175,148,10/17/15
313,36000,1,female,76,yes,150,120,10/1/15
314,20400,4,female,66,no,157,150,9/2/15
315,43000,7,male,64,yes,172,125,10/1/15
316,48000,4,male,81,yes,170,125,10/5/15
317,80000,12,male,24,used to be,170,150,10/1/15
318,90000,9,male,60,no,172,144,10/1/15
319,80000,10,male,78,used to be,176,160,10/24/15
320,30000,4,female,42,no,160,120,9/7/15
321,40000,9,female,68,used to be,153,98,10/1/15
322,50000,7,male,63,no,173,140,10/1/15
323,4.00E+05,10,female,62,no,170,130,10/17/15
324,25000,4,male,61,no,167,130,10/18/15
325,50000,12,male,76,used to be,173,116,10/5/15
326,50000,10,female,35,no,160,90,10/7/15
327,3.00E+05,12,female,42,yes,160,130,9/26/15
328,0,10,male,23,no,175,140,10/17/15
329,70000,10,female,29,no,160,128,10/18/15
330,30000,6,female,25,no,163,120,10/7/15
331,10000,3,female,45,no,156,110,10/1/15
332,10000,3,female,45,no,170,160,10/5/15
333,80000,11,male,36,no,171,146,9/19/15
334,48000,6,male,29,yes,176,135,10/6/15
335,20000,6,female,24,no,165,160,10/5/15
336,35000,4,female,19,no,164,97,10/4/15
337,20000,6,male,51,used to be,170,140,10/4/15
338,10000,1,male,64,no,170,130,10/17/15
339,20000,12,female,61,used to be,165,140,9/19/15
340,6000,4,female,56,no,166,130,10/3/15
341,150000,12,female,40,used to be,162,106,10/18/15
342,1.00E+05,6,female,50,no,165,100,10/3/15
343,1.00E+05,12,male,89,used to be,170,120,10/1/15
344,60000,10,male,32,no,172,130,10/2/15
345,20000,6,female,57,no,160,110,9/17/15
346,72000,14,male,84,used to be,170,140,10/3/15
347,40000,7,male,57,used to be,172,180,10/3/15
348,60000,10,female,23,no,155,98,10/14/15
349,2.00E+05,10,female,22,no,159,80,10/1/15
350,48000,10,male,29,no,170,126,8/30/15
351,110000,13,female,30,yes,163,120,10/17/15
352,50000,4,female,64,used to be,162,140,10/1/15
353,0,3,male,37,no,163,160,8/30/15
354,50000,10,female,66,used to be,156,134,10/2/15
355,45000,6,female,54,used to be,155,100,10/7/15
356,20000,6,female,35,yes,165,124,9/1/15
357,10000,4,male,70,used to be,170,147,10/1/15
358,1.00E+05,13,female,51,yes,165,120,10/7/15
359,40000,4,male,68,used to be,170,140,10/18/15
360,4000,3,female,79,no,155,130,8/30/15
361,8.00E+05,4,male,49,no,166,135,10/17/15
362,70000,11,female,36,used to be,160,96,10/5/15
363,0,12,male,20,no,180,180,9/6/15
364,0,3,female,67,no,153,150,10/7/15
365,30624,6,female,58,used to be,166,140,9/20/15
366,48000,4,male,77,used to be,172,155,9/30/15
367,0,7,female,32,no,163,100,10/1/15
368,24000,4,male,65,no,175,150,10/1/15
369,50000,9,male,62,yes,181,170,10/18/15
370,30000,4,male,28,no,175,127,8/30/15
371,60000,4,male,30,no,168,116,8/31/15
372,44400,3,female,84,no,161,140,9/16/15
373,40000,4,female,66,used to be,156,150,10/2/15
374,1.00E+05,12,male,78,used to be,178,125,10/4/15
375,50000,9,female,29,yes,170,106,10/18/15
376,70000,4,male,55,yes,165,145,10/1/15
377,96000,12,female,44,yes,167,120,10/17/15
378,1.00E+05,12,male,25,yes,175,120,10/6/15
379,10000,3,female,48,no,170,140,10/1/15
380,1.00E+05,12,female,55,yes,170,120,9/14/15
381,28000,7,male,63,used to be,175,100,10/18/15
382,3000,4,male,57,no,175,120,8/31/15
383,210000,13,male,59,yes,180,160,10/17/15
384,0,11,male,21,no,172,105,10/3/15
385,40000,3,female,76,yes,156,115,10/18/15
386,29400,4,male,56,used to be,174,140,10/3/15
387,50000,8,male,80,yes,168,110,10/5/15
388,46000,2,male,84,used to be,177,120,9/30/15
389,36000,1,male,86,used to be,165,120,10/2/15
390,30000,7,female,35,yes,165,136,10/7/15
391,150000,4,male,30,yes,170,170,10/2/15
392,36000,4,female,67,used to be,155,90,10/3/15
393,40000,7,male,79,yes,165,130,10/5/15
394,2.00E+05,12,female,43,no,162,118,9/20/15
395,20000,7,female,52,used to be,150,90,9/21/15
396,30000,12,female,29,yes,160,110,9/8/15
397,20000,6,female,55,no,158,120,9/17/15
398,1.00E+05,7,male,39,yes,170,135,10/18/15
399,2.00E+05,12,male,32,no,175,164,9/10/15
400,20000,7,female,63,used to be,162,120,10/1/15
401,40000,7,male,25,no,173,120,8/30/15
402,60000,8,male,77,yes,167,146,9/15/15
403,24000,11,female,29,yes,163,108,10/7/15
404,48000,14,female,37,no,158,108,10/3/15
405,40000,4,female,63,used to be,158,116,10/2/15
406,30000,6,female,50,yes,165,160,10/2/15
407,0,4,male,57,used to be,165,123,9/8/15
408,1.00E+05,11,male,25,no,172,140,10/24/15
409,49200,11,female,30,used to be,163,90,10/17/15
410,45000,7,female,74,yes,162,143,10/3/15
411,20000,6,male,51,yes,173,160,10/6/15
412,36000,3,female,88,no,150,120,9/15/15
413,1.00E+06,12,male,37,no,171,172,10/1/15
414,60000,12,male,64,used to be,172,145,10/17/15
415,35000,4,male,57,yes,163,130,10/6/15
416,75000,9,female,47,yes,165,140,10/5/15
417,24000,3,male,66,no,153,130,9/8/15
418,150000,4,female,42,no,165,106,10/17/15
419,60000,7,male,64,used to be,173,170,10/6/15
420,1.00E+05,11,female,34,yes,170,120,10/18/15
421,72000,11,female,44,yes,165,108,10/7/15
422,130000,11,male,52,no,175,138,10/2/15
423,2000,6,female,56,yes,162,112,10/1/15
424,0,8,female,46,yes,163,160,9/8/15
425,30000,10,female,33,no,155,140,10/18/15
426,30000,11,female,37,yes,155,110,10/6/15
427,50000,10,male,21,no,167,156,10/18/15
428,2.00E+05,9,male,47,yes,168,148,10/18/15
429,36000,3,female,87,no,155,120,10/5/15
430,120000,13,female,27,no,162,90,10/18/15
431,25000,4,female,68,no,160,90,10/17/15
432,0,4,female,32,no,164,104,8/31/15
433,60000,6,male,42,yes,168,150,9/11/15
434,0,3,male,27,no,168,146,10/2/15
435,50000,10,male,56,used to be,170,150,10/12/15
436,35000,4,female,63,used to be,158,140,10/1/15
437,150000,7,male,28,no,170,126,8/31/15
438,30000,10,female,25,used to be,160,112,9/19/15
439,60000,9,male,52,yes,165,176,10/6/15
440,40000,7,male,75,used to be,160,100,10/5/15
441,110000,12,female,31,no,158,92,10/18/15
442,43000,7,male,74,used to be,165,145,10/3/15
443,40000,9,male,60,yes,171,122,10/1/15
444,30000,6,male,60,yes,172,170,10/6/15
445,38000,6,female,70,yes,162,122,10/18/15
446,24000,4,male,57,yes,169,140,10/6/15
447,48000,4,female,62,no,160,105,10/5/15
448,50000,5,female,41,no,160,110,9/17/15
449,28800,3,male,60,used to be,163,130,10/5/15
450,45000,4,female,86,used to be,160,95,10/3/15
451,20000,3,female,65,used to be,155,165,10/5/15
452,1.00E+05,4,male,50,no,175,160,9/11/15
453,40000,7,female,26,yes,160,158,9/11/15
454,0,1,female,81,no,160,120,10/7/15
455,40000,4,female,40,no,160,116,9/10/15
456,50000,12,female,72,yes,160,110,10/18/15
457,10000,3,female,55,no,115,110,9/11/15
458,25000,3,male,32,no,168,130,10/5/15
459,0,4,male,33,no,167,140,9/11/15
460,56400,7,female,79,used to be,154,115,10/5/15
461,50000,7,female,69,used to be,162,150,10/18/15
462,0,4,female,65,no,156,125,9/12/15
463,4.00E+05,12,male,28,no,184,180,9/23/15
464,80000,9,female,37,yes,160,96,10/18/15
465,70000,4,male,36,no,169,160,10/7/15
466,35000,2,male,80,used to be,170,110,10/4/15
467,99000,12,female,37,used to be,165,120,10/18/15
468,12000,6,female,53,no,158,120,10/4/15
469,11000,4,female,63,used to be,158,116,10/4/15
470,36000,3,female,78,used to be,155,130,9/19/15
471,36000,4,female,42,no,160,105,10/5/15
472,60000,9,female,61,used to be,158,120,10/2/15
473,40000,4,male,62,no,181,140,10/25/15
474,60000,9,female,49,yes,169,126,10/6/15
475,60000,6,male,53,yes,175,130,10/4/15
476,20000,4,female,44,no,164,130,10/4/15
477,80000,11,male,33,no,172,155,10/6/15
478,90000,12,male,74,used to be,173,164,10/18/15
479,60000,4,male,52,no,170,120,9/12/15
480,48000,4,female,68,used to be,165,120,10/4/15
481,10000,4,female,31,no,159,115,9/24/15
482,60000,9,female,65,used to be,158,136,10/7/15
483,50000,10,female,60,used to be,165,150,9/19/15
484,10000,3,female,58,no,155,95,10/4/15
485,0,6,male,18,no,170,120,10/18/15
486,48000,7,male,75,used to be,158,108,10/16/15
487,24000,4,female,66,used to be,158,60,9/23/15
488,1.00E+05,10,female,33,no,150,100,10/7/15
489,36500,4,male,63,no,172,163,9/24/15
490,40000,10,male,31,yes,180,190,10/6/15
491,0,6,male,62,no,170,130,10/18/15
492,0,10,female,20,no,165,105,10/6/15
493,78000,7,female,81,no,154,100,10/18/15
494,4000,12,male,20,yes,177,167,10/17/15
495,2.00E+05,13,male,29,yes,174,144,10/6/15
496,48000,5,female,40,no,160,110,10/17/15
497,40000,4,female,48,yes,158,160,10/7/15
498,150000,12,male,25,no,174,116,10/18/15
499,50000,12,female,34,no,160,104,10/24/15
500,70000,10,female,24,no,160,84,9/20/15
501,60000,10,male,23,no,186,200,10/7/15
502,48000,10,female,31,no,165,58,10/7/15
503,84000,7,male,77,used to be,176,120,9/27/15
504,70000,4,male,56,no,159,110,9/27/15
505,0,12,female,50,no,158,114,10/18/15
506,22800,4,female,63,no,169,139,9/21/15
507,0,1,female,67,used to be,153,140,10/24/15
508,40000,5,female,77,used to be,156,110,10/6/15
509,40000,9,female,42,yes,164,130,10/18/15
510,80000,12,female,36,yes,168,125,9/27/15
511,72000,7,male,28,no,175,130,10/25/15
512,30000,4,female,57,used to be,153,130,10/24/15
513,40000,3,male,74,yes,170,200,10/6/15
514,2.00E+05,9,male,31,no,178,130,10/18/15
515,36000,9,female,63,used to be,165,120,10/6/15
516,0,4,female,38,used to be,150,100,10/24/15
517,250000,11,female,40,no,166,112,10/18/15
518,6.00E+05,12,female,27,yes,165,100,10/18/15
519,120000,8,male,28,no,170,135,10/18/15
520,24000,3,female,82,used to be,165,130,8/4/15
521,25000,6,female,64,used to be,167,140,7/31/15
522,40000,7,female,47,no,160,120,8/1/15
523,36000,6,male,69,yes,170,150,8/5/15
524,30000,6,male,58,used to be,175,150,8/1/15
525,60000,12,male,81,used to be,173,142,8/12/15
526,60000,12,male,38,yes,170,130,8/9/15
527,0,6,male,18,no,173,190,8/11/15
528,30000,4,male,72,yes,168,150,7/30/15
529,50000,6,male,45,no,172,120,8/13/15
530,32400,6,female,52,used to be,163,126,8/11/15
531,30000,1,female,76,used to be,165,130,7/30/15
532,36000,4,female,54,no,152,116,8/10/15
533,36000,7,female,29,no,173,114,7/31/15
534,23000,6,female,58,no,157,115,8/1/15
535,36000,5,male,21,yes,180,130,8/6/15
536,26400,12,female,47,no,160,110,7/30/15
537,30000,12,female,54,used to be,160,122,8/1/15
538,35000,12,male,76,used to be,170,120,8/12/15
539,19200,3,female,78,used to be,167,150,8/12/15
540,22000,4,female,57,no,161,140,8/5/15
541,40000,1,female,82,used to be,155,80,8/6/15
542,24000,6,male,84,used to be,172,110,8/12/15
543,24000,4,female,63,used to be,160,108,8/6/15
544,30000,6,male,24,used to be,170,140,8/4/15
545,27600,4,female,60,no,162,116,8/4/15
546,0,2,female,87,no,156,140,7/30/15
547,50000,12,male,81,used to be,167,130,8/8/15
548,14000,4,male,60,no,170,135,8/12/15
549,1.00E+05,12,male,30,yes,178,140,8/11/15
550,45000,9,female,44,yes,160,120,7/28/15
551,24000,6,female,60,used to be,165,125,8/4/15
552,50000,8,female,69,used to be,155,120,8/5/15
553,20000,7,male,47,no,170,140,8/1/15
554,50000,4,female,60,used to be,157,127,7/30/15
555,12000,1,female,78,no,158,130,8/8/15
556,32000,9,male,65,used to be,164,126,8/1/15
557,36000,3,female,42,no,158,110,8/10/15
558,0,3,female,60,no,162,110,8/11/15
559,12000,6,male,59,used to be,178,140,7/29/15
560,43200,4,male,63,used to be,180,210,8/12/15
561,0,2,female,80,used to be,157,120,8/8/15
562,25000,4,male,63,no,167,130,8/6/15
563,20000,6,female,60,no,160,200,8/6/15
564,27600,4,female,58,used to be,155,110,7/31/15
565,31200,6,female,56,used to be,155,100,8/11/15
566,25200,1,female,78,used to be,154,160,8/4/15
567,15000,6,male,58,yes,174,180,8/5/15
568,20000,3,male,67,used to be,176,142,8/1/15
569,20000,4,female,58,no,150,130,8/4/15
570,0,12,female,20,no,160,95,8/6/15
571,0,6,male,53,used to be,169,130,7/30/15
572,25000,6,female,50,no,164,120,8/4/15
573,24000,7,female,58,used to be,160,120,8/14/15
574,24000,3,female,65,used to be,160,160,8/15/15
575,12000,3,female,80,no,155,120,7/30/15
576,36000,6,female,59,no,162,130,8/12/15
577,40000,3,female,30,no,168,128,8/12/15
