M,C,minority_run,minority_win,white_run,state,state.lower,year,phase,sl_chamber,sl_district,group,white_pct,unusual,south,deepsouth,rimsouth,section5,litigated,proper
0,25.955086685024998,0,0,1,GA,ga,2012,4,8,19,Black,64.82023038436179,0,1,1,0,1,0,1
0,27.381976910970003,0,0,1,GA,ga,2012,3,8,20,Black,65.8921219733445,0,1,1,0,1,0,1
37.68700018990147,28.4660514711897,0,0,1,GA,ga,2012,2,8,25,Black,66.8813158540485,0,1,1,0,1,0,1
100,57.495181217809,1,1,1,GA,ga,2012,2,8,26,Black,38.4451922773091,0,1,1,0,1,0,1
12.957442434210527,11.8210481058616,0,0,1,GA,ga,2012,2,9,32,Black,84.1183776811733,0,1,1,0,1,0,1
100,20.695766168188,0,0,1,GA,ga,2012,2,9,33,Black,74.9732957855894,0,1,1,0,1,0,1
0,16.3470920961818,0,0,1,GA,ga,2012,5,8,37,Black,71.7023791579732,0,1,1,0,1,0,1
100,59.916107984082004,1,1,0,GA,ga,2012,5,8,39,Black,28.9728605743376,0,1,1,0,1,0,1
100,51.327850819758005,1,1,0,GA,ga,2012,6,9,39,Black,29.8020009428527,0,1,1,0,1,0,1
0,14.6221210057991,0,0,1,GA,ga,2012,6,9,43,Black,68.5159533256638,0,1,1,0,1,0,1
10.97060833902939,16.0729001118371,0,0,1,GA,ga,2012,4,8,46,Black,75.3075519453764,0,1,1,0,1,0,1
12.469942993002462,10.866022627150999,0,0,1,GA,ga,2012,5,8,52,Black,78.6461135412037,0,1,1,0,1,0,1
0,12.686712402082401,0,0,1,GA,ga,2012,6,9,52,Black,69.9143677322045,0,1,1,0,1,0,1
0,12.2245658125028,0,0,1,GA,ga,2012,5,9,54,Black,73.5246600547503,0,1,1,0,1,0,1
0,55.96442735248171,0,0,1,GA,ga,2012,4,9,59,Black,34.4069222449225,0,1,1,0,1,0,1
100,68.0136112292641,1,1,0,GA,ga,2012,4,9,65,Black,22.9104636324968,0,1,1,0,1,0,1
41.67400396213956,18.9926110937663,1,0,1,GA,ga,2012,3,9,67,Black,74.1128109064419,0,1,1,0,1,0,1
0,13.618122038487602,0,0,1,GA,ga,2012,2,9,69,Black,81.6797214969539,0,1,1,0,1,0,1
0,10.1141799105076,0,0,1,GA,ga,2012,4,9,71,Black,80.8234325978501,0,1,1,0,1,0,1
15.022891096824473,25.689393939393902,0,0,1,GA,ga,2012,3,9,73,Black,67.66919191919189,0,1,1,0,1,0,1
92.03070591959481,62.6202269570459,1,1,0,GA,ga,2012,5,9,76,Black,24.0558744136069,0,1,1,0,1,0,1
100,62.219418723667594,1,1,0,GA,ga,2012,2,9,89,Black,32.9032872342958,0,1,1,0,1,0,1
100,66.80899444163721,1,1,0,GA,ga,2012,2,9,90,Black,28.678625568468902,0,1,1,0,1,0,1
67.45341614906832,11.8249410088598,1,1,1,IA,ia,2012,6,9,32,Black,68.4876007301545,0,0,0,0,0,0,1
100,22.0916517408589,1,1,0,IA,ia,2012,3,9,62,Black,70.9885981390066,0,0,0,0,0,0,1
15.873519105623231,12.0404411764706,0,0,1,IL,il,2012,4,9,104,Black,80.18817724458201,0,0,0,0,0,0,1
100,41.9824962905213,1,1,1,IL,il,2012,2,9,114,Black,53.857857807509504,0,0,0,0,0,0,1
0,11.239089667307201,0,0,1,IL,il,2012,2,9,118,Black,84.5796772625194,0,0,0,0,0,0,1
100,56.9765008086766,1,1,0,IL,il,2012,5,8,15,Black,32.0698950306029,0,0,0,0,0,0,1
100,57.9492572312676,1,1,0,IL,il,2012,4,9,27,Black,33.1701538721882,0,0,0,0,0,0,1
91.50658754902946,61.9462717926912,1,1,0,IL,il,2012,3,9,29,Black,31.2789214337527,0,0,0,0,0,0,1
100,51.3974372501436,1,1,0,IL,il,2012,6,8,3,Black,30.9898123072955,0,0,0,0,0,0,1
0,12.949821692302098,0,0,1,IL,il,2012,2,8,48,Black,83.8868676680715,0,0,0,0,0,0,1
100,52.1745467592022,1,1,0,IL,il,2012,5,9,5,Black,35.042773373995104,0,0,0,0,0,0,1
100,33.159525800580504,1,1,1,IL,il,2012,3,8,57,Black,61.23518126813911,0,0,0,0,0,0,1
17.62296311856675,10.4788251719324,0,0,1,IL,il,2012,6,9,61,Black,69.9066652877605,0,0,0,0,0,0,1
94.17319529938445,45.1760605696431,1,1,0,IL,il,2012,6,9,7,Black,38.9796899411128,0,0,0,0,0,0,1
100,29.0806033240465,1,1,0,IL,il,2012,6,9,78,Black,53.692717840330495,0,0,0,0,0,0,1
17.71748492678725,24.4704645733772,0,0,1,IL,il,2012,2,9,96,Black,71.3042521725314,0,0,0,0,0,0,1
17.723156532988355,14.8832762329695,0,0,1,IN,in,2012,5,9,100,Black,74.1634132738427,0,0,0,0,0,0,1
89.47276153745015,56.8364695858884,1,1,0,IN,in,2012,4,8,34,Black,33.2235907900411,0,0,0,0,0,0,1
18.79963600264725,10.1360262255548,0,0,1,IN,in,2012,2,9,34,Black,85.0145069520329,0,0,0,0,0,0,1
24.197820721208835,12.2005736326773,0,0,1,IN,in,2012,2,9,36,Black,82.9571753535753,0,0,0,0,0,0,1
21.082046992624136,22.8169792862915,0,0,1,IN,in,2012,5,9,6,Black,65.49274807536901,0,0,0,0,0,0,1
24.718611818303632,17.0234006868461,0,0,1,IN,in,2012,2,9,77,Black,78.264515613768907,0,0,0,0,0,0,1
15.950649922890506,39.382343672624096,0,0,1,IN,in,2012,6,9,80,Black,40.7981812452168,0,0,0,0,0,0,1
24.03759495300631,11.5260595586841,0,0,1,IN,in,2012,4,9,89,Black,81.02172859280489,0,0,0,0,0,0,1
73.71405697511508,50.429151575019205,1,1,0,IN,in,2012,5,9,95,Black,37.4053342113928,0,0,0,0,0,0,1
69.24034053700066,51.0100222282884,1,1,1,IN,in,2012,3,9,96,Black,42.5496236789767,0,0,0,0,0,0,1
69.8722979239495,50.2183586025049,1,1,1,IN,in,2012,6,9,99,Black,33.2399472643375,0,0,0,0,0,0,1
22.579354494531874,15.007420599584401,0,0,1,KS,ks,2012,5,9,41,Black,72.5319085782131,0,0,0,0,0,0,1
72.5242433147223,41.4742560809977,1,1,1,KS,ks,2012,6,9,84,Black,41.6100753179405,0,0,0,0,0,0,1
34.231962761830886,17.4568537988494,0,0,1,KY,ky,2012,5,9,26,Black,70.7465449976856,0,1,0,1,0,0,1
0,15.573714905737098,0,0,1,KY,ky,2012,2,9,3,Black,80.3065238030652,0,1,0,1,0,0,1
100,60.2925922433419,1,1,0,KY,ky,2012,2,8,33,Black,35.802136516104696,0,1,0,1,0,0,1
100,52.037950404165,1,1,0,KY,ky,2012,2,9,42,Black,44.334840389094396,0,1,0,1,0,0,1
82.2747555302383,54.37805336339721,1,1,0,KY,ky,2012,1,9,43,Black,42.6719278466742,0,1,0,1,0,0,1
0,23.936459232269,0,0,1,KY,ky,2012,2,9,44,Black,72.1705500687186,0,1,0,1,0,0,1
65.48260986788893,11.7973105936373,1,1,1,KY,ky,2012,2,9,57,Black,83.3715972449984,0,1,0,1,0,0,1
0,10.1354360676978,0,0,1,KY,ky,2012,3,8,7,Black,83.6859259859098,0,1,0,1,0,0,1
0,25.1557026080187,0,0,1,KY,ky,2012,2,9,8,Black,70.5559880628001,0,1,0,1,0,0,1
23.095845481049565,60.6864224483899,1,0,1,MI,mi,2012,2,9,1,Black,35.9537034064276,0,0,0,0,0,0,1
46.99590960906592,56.3575633210012,1,0,1,MI,mi,2012,2,9,10,Black,39.8454233632401,1,0,0,0,0,0,1
8.031019978969503,20.7425273494702,0,0,1,MI,mi,2012,4,9,12,Black,71.9054182100095,0,0,0,0,0,0,1
16.2406426876027,10.691685163994299,0,0,1,MI,mi,2012,2,9,18,Black,85.328057573794,0,0,0,0,0,0,1
96.11955506495713,64.90699236259701,1,1,0,MI,mi,2012,2,9,2,Black,31.9880675340091,0,0,0,0,0,0,1
95.13671318712618,90.386750699842,1,1,1,MI,mi,2012,2,9,3,Black,6.47920804466478,0,0,0,0,0,0,1
24.539262820512818,13.0626870826618,0,0,1,MI,mi,2012,2,9,31,Black,82.1220930232558,0,0,0,0,0,0,1
87.32370615648762,58.4881792370618,1,1,1,MI,mi,2012,2,9,35,Black,36.6345261855902,0,0,0,0,0,0,1
22.61743930211912,14.486537661555198,0,0,1,MI,mi,2012,4,9,62,Black,77.24384261185139,0,0,0,0,0,0,1
96.09651627641347,95.471517758461,1,1,0,MI,mi,2012,1,9,7,Black,2.09696209337754,0,0,0,0,0,0,1
17.599115641160154,19.5767604112,0,0,1,MI,mi,2012,3,9,79,Black,74.6797147531874,0,0,0,0,0,0,1
97.45035233824471,90.94869012556191,1,1,0,MI,mi,2012,1,9,8,Black,6.6005270500697595,0,0,0,0,0,0,1
48.29232283464567,76.00489923171139,1,0,0,MI,mi,2012,2,9,9,Black,19.2103965514499,1,0,0,0,0,0,1
10.813972580247928,34.04130708146,0,0,1,MN,mn,2012,6,8,59,Black,46.5212822765404,0,0,0,0,0,0,1
