NOLA,year,run,win,M_raw,M,C,incumb_ran,unopposed,city_type,city_council,woman_run,woman_win,num_black_cand,M_t2,M_t3,educ_baplus_black,educ_baplus_white,new_electiontime,white_over65,density
0,1990,0,0,-26.37599754333496,23.62400245666504,37.060874938964844,1,1,Rural,Mixed,0,0,0,NA,NA,2.1579205989837646,14.376506805419922,0,1456,2258.316162109375
0,1994,0,0,-50,0,37.661781311035156,1,1,Rural,Mixed,0,0,0,23.62400245666504,NA,2.7319817543029785,13.559707641601563,0,1460.800048828125,2196.724365234375
0,1998,0,0,-50,0,38.2626838684082,1,1,Rural,Mixed,0,0,0,0,23.62400245666504,3.3060429096221924,12.74290943145752,0,1465.5999755859375,2135.1328125
0,2002,0,0,-50,0,39.056434631347656,0,0,Rural,Mixed,0,0,0,0,0,3.189117431640625,12.971966743469238,0,1440.4000244140625,2089.01806640625
0,2006,0,0,-25.655757904052734,24.344242095947266,40.043025970458984,1,0,Rural,Mixed,0,0,0,0,0,2.381204843521118,14.246881484985352,0,1385.199951171875,2058.380615234375
0,2010,0,0,-29.431859970092773,20.568140029907227,41.02961730957031,1,1,Rural,Mixed,0,0,0,24.344242095947266,0,1.5732923746109009,15.521796226501465,0,1330,2027.7430419921875
0,2014,0,0,-50,0,41.02961730957031,1,1,Rural,Mixed,0,0,0,20.568140029907227,24.344242095947266,1.6755521297454834,14.858377456665039,0,1330,2027.7430419921875
0,1994,0,0,-27.715354919433594,22.284645080566406,4.585556983947754,1,0,Suburban,AtLarge,0,0,0,NA,NA,20.50462532043457,28.277240753173828,1,148.60000610351562,386.82073974609375
0,1998,0,0,-35.524566650390625,14.475433349609375,3.538398265838623,1,0,Suburban,AtLarge,0,0,0,22.284645080566406,NA,26.375104904174805,30.287817001342773,0,178.1999969482422,445.1725158691406
0,2002,0,0,-30.166271209716797,19.833728790283203,3.308260917663574,0,0,Suburban,AtLarge,1,0,0,14.475433349609375,22.284645080566406,34.23775100708008,31.554149627685547,0,215,485.1573486328125
0,2006,0,0,-27.658227920532227,22.341772079467773,3.8951451778411865,1,1,Suburban,AtLarge,1,0,0,19.833728790283203,14.475433349609375,44.092559814453125,32.07624053955078,0,259,506.7752685546875
0,2010,1,0,-50,0,4.482029438018799,1,0,Suburban,AtLarge,1,0,1,22.341772079467773,19.833728790283203,53.94736862182617,32.598331451416016,0,303,528.3931884765625
0,2012,0,0,-35.2100830078125,14.7899169921875,4.482029438018799,0,1,Suburban,AtLarge,1,0,0,0,22.341772079467773,20.454545974731445,40.52132797241211,1,303,528.3931884765625
0,2014,0,0,-50,0,4.482029438018799,1,1,Suburban,AtLarge,1,0,0,14.7899169921875,0,20.454545974731445,40.52132797241211,1,303,528.3931884765625
0,1992,0,0,-29.225351333618164,20.774648666381836,13.95508861541748,1,1,Suburban,Mixed,0,0,0,NA,NA,4.310502052307129,6.014378547668457,1,101.4000015258789,901.70245361328125
0,1996,0,0,-50,0,18.46101188659668,1,1,Suburban,Mixed,0,0,0,20.774648666381836,NA,6.264840126037598,7.047593116760254,1,130.1999969482422,1066.0782470703125
0,2000,0,0,-50,0,22.966934204101562,1,1,Suburban,Mixed,0,0,0,0,20.774648666381836,8.219178199768066,8.08080768585205,0,159,1230.4539794921875
0,2004,0,0,-50,0,25.157838821411133,1,0,Suburban,Mixed,0,0,0,0,0,12.509854316711426,11.971368789672852,0,196.1999969482422,1080.1683349609375
0,2008,0,0,-35.02906799316406,14.970932006835938,27.348743438720703,1,0,Suburban,Mixed,0,0,0,0,0,16.8005313873291,15.861929893493652,1,233.39999389648437,929.88262939453125
0,2012,0,0,-27.11111068725586,22.88888931274414,27.348743438720703,0,1,Suburban,Mixed,0,0,0,14.970932006835938,0,22.562978744506836,19.389026641845703,1,252,854.73980712890625
0,1994,0,0,-30.794702529907227,19.205297470092773,0.5113590359687805,1,0,Suburban,AtLarge,0,0,0,NA,NA,0,11.444833755493164,1,103.80000305175781,659.32843017578125
0,1998,0,0,-33.33333206176758,16.666667938232422,0.24752430617809296,1,0,Suburban,AtLarge,0,0,0,19.205297470092773,NA,0,9.725110054016113,0,116.5999984741211,738.60748291015625
0,2002,0,0,-35.50531768798828,14.494682312011719,0.8645443916320801,1,1,Suburban,AtLarge,0,0,0,16.666667938232422,19.205297470092773,0,9.806063652038574,0,132.8000030517578,816.733154296875
0,2006,0,0,-50,0,2.3624191284179687,1,1,Suburban,AtLarge,0,0,0,14.494682312011719,16.666667938232422,0,11.687692642211914,0,152.39999389648437,893.70538330078125
0,2010,0,0,-50,0,3.8602941036224365,1,0,Suburban,AtLarge,0,0,0,0,14.494682312011719,0,13.569321632385254,0,172,970.6776123046875
0,2014,0,0,-36.59574508666992,13.404254913330078,3.8602941036224365,1,0,Suburban,AtLarge,0,0,0,0,0,46.66666793823242,17.494089126586914,1,172,970.6776123046875
0,1994,1,0,-33.20159149169922,16.79840850830078,51.47077178955078,1,0,Urban,Mixed,0,0,1,NA,NA,7.507632255554199,27.973012924194336,1,4592.2001953125,1895.0828857421875
0,1998,1,0,-20.50279998779297,29.49720001220703,53.65513229370117,1,0,Urban,Mixed,1,0,1,16.79840850830078,NA,8.2295503616333,29.22031021118164,0,4537.39990234375,1801.431640625
0,2002,1,0,-33.75096893310547,16.24903106689453,55.24809646606445,1,0,Urban,Mixed,1,0,2,29.49720001220703,16.79840850830078,8.625371932983398,31.047399520874023,0,4391.2001953125,1739.6494140625
